,top_parent,second_level,third_level,fourth_level,fifth_level
274,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Miscellaneous legal support workers,"Title examiners, abstractors, and searchers"
275,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Miscellaneous legal support workers,"Legal support workers, all other"
276,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Title examiners, abstractors, and searchers","Title examiners, abstractors, and searchers"
277,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Legal support workers, all other","Legal support workers, all other"
278,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Preschool and kindergarten teachers,"Preschool teachers, except special education"
279,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Preschool and kindergarten teachers,"Kindergarten teachers, except special education"
280,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Preschool teachers, except special education","Preschool teachers, except special education"
281,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Kindergarten teachers, except special education","Kindergarten teachers, except special education"
282,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Elementary and middle school teachers,"Elementary school teachers, except special education"
283,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Elementary and middle school teachers,"Middle school teachers, except special and career/technical education"
284,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Elementary and middle school teachers,"Career/technical education teachers, middle school"
285,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Elementary school teachers, except special education","Elementary school teachers, except special education"
286,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Middle school teachers, except special and career/technical education","Middle school teachers, except special and career/technical education"
287,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Career/technical education teachers, middle school","Career/technical education teachers, middle school"
288,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Secondary school teachers,"Secondary school teachers, except special and career/technical education"
289,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Secondary school teachers,"Career/technical education teachers, secondary school"
290,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Secondary school teachers, except special and career/technical education","Secondary school teachers, except special and career/technical education"
